id,disease_type,class_label,location,findings,impression
21,Chest_diseases,non_covid,Upper Zone,Evaluation of the lung apices shows persistent hyperdense nodules. No acute infiltrates or pleural effusions are detected in the superior lobes.,Stable apical nodules; no acute process.
22,Chest_diseases,non_covid,Mid Zone,There are moderate bilateral pleural effusions with overlying atelectasis. Mild prominence of the interstitial markings suggests mild pulmonary edema. Mediastinal contours are unremarkable.,Bilateral pleural effusions and mild pulmonary edema; pneumonia cannot be excluded.
23,Chest_diseases,non_covid,Mid Zone,Perihilar haziness with vascular indistinctness and diffuse alveolar opacities are compatible with moderate pulmonary edema. The hilar structures appear prominent.,Moderate pulmonary edema with hilar congestion.
24,Chest_diseases,non_covid,Mid Zone,Small calcified granuloma in the right mid-lung zone is unchanged. No hilar or mediastinal abnormalities are detected. Heart size is mildly enlarged.,Stable right mid-zone granuloma and cardiomegaly.
25,Chest_diseases,non_covid,Lower Zone,Moderate to large bilateral pleural effusions are seen. There is bibasilar compressive atelectasis demonstrated in the lung bases. No pneumothorax is seen.,Moderate pulmonary edema with large bilateral pleural effusions and bibasilar atelectasis.
26,Chest_diseases,non_covid,Lower Zone,"Dense lower lobe opacity is compatible with a combination of volume loss, infiltrate, and effusion. Mild vascular redistribution is noted.",Congestive Heart Failure (CHF) with lower lobe volume loss.
27,Chest_diseases,non_covid,Lower Zone,Left basilar opacity may reflect atelectasis versus focal pneumonia. The right costophrenic angle is sharp. No pulmonary edema detected.,Left basilar opacity; potential infection in the appropriate clinical setting.
28,Chest_diseases,non_covid,Lower Zone,There is some retrocardiac atelectasis noted at the left base. A small left pleural effusion may be present. The aorta is tortuous.,Retrocardiac atelectasis and small pleural effusion.
32,Chest_diseases,normal,Upper Zone,"The lung apices are clear. No evidence of apical scarring, masses, or pneumothorax is detected in the superior lobes.",No acute pathology in the upper lung zones.
33,Chest_diseases,normal,Upper Zone,Frontal and lateral views show the upper lung fields are well-aerated and clear of any focal opacities. The trachea is midline.,Normal upper lung appearance.
34,Chest_diseases,normal,Mid Zone,The hilar and mediastinal contours are unremarkable. There is no evidence of hilar lymphadenopathy or vascular congestion. The lungs are clear.,Normal hilar and mediastinal silhouette.
35,Chest_diseases,normal,Mid Zone,The cardiomediastinal silhouette is within normal limits. The central pulmonary vasculature is not prominent. The visualized lungs are clear.,No acute cardiopulmonary process.
36,Chest_diseases,normal,Lower Zone,The costophrenic angles are sharp and the diaphragmatic contours are smooth. No pleural effusion or basilar atelectasis is identified.,Clear lung bases; no pleural disease.
37,Chest_diseases,normal,Lower Zone,Evaluation of the lung bases shows no evidence of consolidation or retrocardiac opacity. The diaphragm is at a normal level.,Normal appearance of the lower lung zones.
38,Chest_diseases,normal,Global,PA and lateral views of the chest demonstrate clear lungs. The heart size is normal. Osseous and soft tissue structures are unremarkable.,Normal chest radiograph.
39,Chest_diseases,normal,Global,"The lungs are clear without focal consolidation, effusion, or pneumothorax. The cardiomediastinal silhouette is stable and normal.",No acute intrathoracic process.
40,Chest_diseases,covid-19,Upper Zone,Bilateral apical ground-glass opacities are present with a peripheral distribution. No pleural effusions or focal consolidations are noted in the superior lobes.,"Findings suggestive of viral pneumonia, including COVID-19."
41,Chest_diseases,covid-19,Upper Zone,"Patchy, ill-defined opacities are noted in the upper lung fields. There is no evidence of apical pneumothorax or masses.",Early-stage viral pneumonitis; COVID-19 should be considered.
42,Chest_diseases,covid-19,Mid Zone,"Multifocal, hazy ground-glass opacities (GGO) are observed in the perihilar and mid-lung zones. ""Crazy-paving"" patterns are subtly visible.",Patterns consistent with the progressive phase of COVID-19.
43,Chest_diseases,covid-19,Mid Zone,Mid-lung predominant interstitial thickening and hazy opacification are seen. The cardiac silhouette and mediastinum remain normal.,Viral-type interstitial pneumonia; clinical correlation for COVID-19 required.
44,Chest_diseases,covid-19,Lower Zone,"Peripheral and basal predominant ground-glass opacities are identified. There is mild thickening of the pleura, but no large effusions.",Classic COVID-19 presentation with lower-lobe predominance.
45,Chest_diseases,covid-19,Lower Zone,"Basilar consolidative opacities with subpleural sparing are noted. Diaphragmatic contours are clear, but lung volume is slightly reduced.",Organizing pneumonia pattern often seen in later-stage COVID-19.
46,Chest_diseases,covid-19,Global,"Diffuse, bilateral, and symmetric ground-glass opacities are distributed throughout all lung zones. Findings are more pronounced peripherally.",Severe bilateral viral pneumonia; high suspicion for COVID-19.
47,Chest_diseases,covid-19,Global,Widespread patchy air-space opacities involve both lungs. No signs of pulmonary edema or congestive heart failure are detected.,Multifocal pneumonia typical of viral etiology.
48,Tuberculosis,tuberculosis,Upper Zone,"Irregular opacities are noted in the left lung apex, representing a potential cavitary lesion. Streaky opacities in the right upper lobe suggest chronic scarring.",Suspicion of active cavitary tuberculosis; clinical correlation required.
49,Tuberculosis,tuberculosis,Upper Zone,There is asymmetric right apical smooth pleural thickening. A calcified granuloma is identified in the right suprahilar region.,Evidence of prior granulomatous disease; stable apical scarring.
50,Tuberculosis,tuberculosis,Mid Zone,"Prominent hilar lymphadenopathy is noted bilaterally. Calcified paratracheal lymph nodes are seen, consistent with a Ghon complex.",Findings suggestive of primary tuberculosis or old granulomatous disease.
51,Tuberculosis,tuberculosis,Mid Zone,A calcified lingular granuloma is noted. The cardiomediastinal silhouette and pulmonary vasculature are within normal limits.,Stable granulomatous disease; no acute process.
52,Tuberculosis,tuberculosis,Lower Zone,Scarring in the left lower lobe is noted and unchanged from prior. There is a small calcified granuloma at the left lung base.,Chronic sequelae of prior tuberculosis or infection.
53,Tuberculosis,tuberculosis,Lower Zone,Minimal right basilar subsegmental atelectasis noted. Scattered calcified granulomas are seen without evidence of active tuberculous process.,No evidence of active TB; stable calcified granulomas.
54,Tuberculosis,tuberculosis,Global,"Diffuse, tiny 2mm micronodular opacities are distributed throughout both lung fields in a miliary pattern. No pleural effusion.",Highly suggestive of Miliary Tuberculosis.
55,Tuberculosis,tuberculosis,Global,Sequelae of old granulomatous disease seen as multiple scattered calcified nodules across both hemithoraces. Lungs are otherwise clear.,"Inactive, old granulomatous disease."
56,Tuberculosis,normal,Upper Zone,"The lung apices are well-aerated and clear. No evidence of apical scarring, masses, or suspicious nodules. The trachea is midline.",Normal upper lung appearance; no evidence of active or chronic TB.
57,Tuberculosis,normal,Mid Zone,The cardiomediastinal silhouette and pulmonary vasculature are within normal limits. Lungs are clear without hilar lymphadenopathy.,No acute cardiopulmonary findings.
58,Tuberculosis,normal,Mid Zone,Heart size and mediastinal contour are within normal limits. There is no focal airspace consolidation or suspicious pulmonary opacity in the perihilar regions.,Normal mediastinal and hilar structures.
59,Tuberculosis,normal,Lower Zone,"The lungs are clear bilaterally. There is no focal airspace disease, pleural effusion, or pneumothorax. No free subdiaphragmatic air is noted.",No acute pulmonary disease at the lung bases.
60,Tuberculosis,normal,Lower Zone,The costophrenic angles are sharp. The diaphragmatic contours are smooth and at a normal level. No basilar infiltrates or effusions are identified.,Clear lung bases; no pleural or parenchymal disease.
61,Tuberculosis,normal,Global,The cardiac silhouette and mediastinum are within normal limits. Lungs are normally inflated and clear without evidence of focal airspace disease.,Normal chest radiograph; negative for active pulmonary process.
62,Tuberculosis,normal,Global,Frontal and lateral views demonstrate well-expanded and clear lungs. No signs of granulomatous disease or acute pneumonia. Osseous structures are intact.,Normal chest X-ray.
